back	adv.回原处?n.背?后面?adj.后面的?v.后退
metamorphic	adj.变质的?变性的
sidewalk	n.人行道
libelous	adj.诽谤的?损害名誉的
broker	n.掮客? 经纪人
Washingtonian	n./a(美国)华盛顿市(或州)人
sensationalism	n.追求轰动效应? 感觉论
aromatic	adj.芬芳的
unmistakable	adj.明显的?不会弄错的
pollinate	v.对授粉?vt.给…授粉
runway	n.飞机跑道? 斜坡跑道? 河道
irresistible	adj.不可抵抗的?不能压制的?adj.无法抗拒的， 诱人的； 不能自已的
rampant	adj.猖獗的? 蔓生的?adj.猖獗的， 肆虐的； 蔓生的
crossbreed	n.[生物]杂种 v异种交配
intrusion	n.闯入? 侵扰?n.侵扰， 干扰； 侵犯； 侵入， 闯入
pinch	n.捏? 撮 v夹痛?节省?v.捏，掐；夹痛；偷窃；逮捕?n.捏， 掐； 一撮， 微量
inactivate	v.使不活泼? 阻止活动?vt.使不活动， 使不活跃
pollination	n.授粉
recognizable	adj.可辨认的?可认识的
unwillingly	adv.不情愿地?勉强地
impartially	adv.公平地?无私地
dose	n.剂量? (一)剂 v(给)服药
retrain	v.重新教育? 再教育
irrationally	adv.无理性地?不合理地
boon	n.恩惠? 福利?n.恩惠， 恩赐； 益处
unavoidably	adv.不可避免地?不得已地
racetrack	n.(主要用于赛马? 赛狗的)跑道
inoffensive	adj.不触犯人的?无害的
boomer	n.生育高峰中出生的人
cynthia	n.月亮女神? 月亮
struggler	n.奋斗者?斗争者
honorable	adj.光荣的?高贵的
impregnate	v.使怀孕? 使受精 a怀孕的? 充满的
enthusiastically	adv.热心地?满腔热情地
bequest	n.遗产? 遗赠
childless	adj.无儿女的
cuticle	n.表皮?角质层
spiky	adj.大钉似的? 尖刻的
waxy	adj.象蜡的?苍白的? 柔软的
unpalatable	adj.味道差的?难吃的
epidermis	n.[生]表皮? 上皮
immobilize	v.固定不动
deterrent	n.威慑 a遏制的
infest	v.骚扰?大批滋生?vt.大批滋生， 大批出没于
rancho	n.大牧场(或大农场)工人住的棚屋
crayon	n.有色粉笔? 蜡笔
unwary	adj.粗心的? 不警惕的
sapiens	adj.（拉）现代人的
mastodon	n.[古生]乳齿象? 庞然大物
preeminent	adj.卓越的?adj.卓越的， 杰出的
ingeniously	adv.贤明地?有才能地
daunt	v.沮丧
monochromatic	adj.单色的
educable	adj.可教育的? 可培养的
clever	adj.机灵的? 聪明的
scam	n.诡计 v诓骗
pin	n.钉? 栓 vt钉住? 牵制?vt.钉住；固定?n.大头针； 钢钉； 胸针； 徽章
astute	adj.机敏的? 狡猾的?adj.机敏的， 精明的
dash	n.冲撞? 破折号 v猛掷? 冲撞
emboss	v.饰以浮饰? 使浮雕出来
embellish	v.修饰?vt.装饰； 对…添枝加叶， 渲染
learner	n.学习者? 初学者
unread	adj.没有人看的? 无学问的
reinterpretation	n.重新解释
postdate	v.填迟的日期 n事后日期
mania	n.[医]颠狂? 狂躁? 癖好? 狂热?n.躁狂； 狂热； 癖好
stash	v.存放 n隐藏处?vt.隐藏，藏匿?n.贮藏物
quarrelsome	adj.喜欢吵架的?好争论的
speedy	adj.快的? 迅速的
prepay	v.预付
loathsome	adj.讨厌的?adj.令人厌恶的， 讨厌的
counterfeit	n.赝品 a伪造的 v伪造?adj.伪造的，假冒的?n.赝品?vt.伪造， 仿造
sender	n.寄件人?发送人
affix	v.使附于? 粘贴 n[语]词缀
obsess	v.迷住? 使困扰?v.迷住； 牵挂
demolish	v.毁坏? 推翻? 粉碎?vt.拆除； 破坏； 驳倒， 推翻
golf	n.高尔夫球 vi打高尔夫球
glaciate	v.使结冰? 以冰(或冰河)覆盖
ambience	n.周围环境? 气氛?n.周围环境， 气氛
cab	n.出租汽车
frenzy	n.狂暴? 狂怒 vt使发狂?n.狂暴， 狂热， 疯狂
melodrama	n.情节剧?n.情节剧， 通俗剧； 戏剧性的事件
treasure	n.财宝? 财富 vt珍爱
Cincinnati	n.辛辛那提（美国俄亥俄州西南部城市）
trove	n.被发现的东西? 收藏的东西
acronym	n.只取首字母的缩写词?n.首字母缩写词
bet	n.赌? 打赌 v赌? 赌钱?v.打赌； 敢说， 确信?n.打赌；赌注
labyrinth	n.迷路? 迷宫? 难解的事物?n.迷宫； 错综复杂的事件
rubble	n.碎石
rainer	n.人工降雨装置?喷灌装置
yesteryear	n.去年 ad过去不久的岁月
lore	n.学问?（动物的）眼光知识?n.学问， 学识； 传说， 传统
mortar	n.灰泥?迫击炮 vt用灰泥结合
incongruity	n.不调和的? 不适宜的?n.不一致， 不和谐
tableland	n.高原?n.高原， 台地
fullness	n.满? 丰富? 成熟
recoil	n.畏缩? 弹回 vi退却? 畏缩?vi.弹回；后退，退缩；产生后坐力?n.后退， 退缩； 反冲， 后坐力
musicologist	n.音乐学者
forte	n.长处
percussive	adj.冲击的?叩诊的
multistory	adj.多层的?有多层楼的
hammerhead	n.锤头 a锤头状的? 鲁钝的
induct	v.感应?引导?vt.使正式就任； 使了解， 传授； 使入伍
coincident	adj.一致的?符合的
assort	v.分类配全
forgiveness	n.宽恕? 宽仁之心
spoonful	n.一匙
oat	n.[植]燕麦? 麦片粥
differentiating	adj.微分的
symphonic	adj.交响乐的? 和声的
sad	adj.忧愁的? 悲哀的
violinist	n.小提琴演奏者? 小提琴家
cellist	n.大提琴演奏家
upsurge	n.高潮 vi涌起?n.高涨； 激增
phenomenal	adj.现象的?显著的
midocean	n.海洋中央
omnibus	n.公共汽车? 精选集 a综合性的
accessibility	n.易接近? 可到达的
unoccupied	adj.空闲的?未占领的
catalyze	v.催化? 刺激? 促进
scavenge	v.打扫? 以(腐肉)为食
subdivision	n.细分? 一部
treetop	n.树稍
ancestry	n.祖先(集合称)? 血统
virginal	adj.处女的? 无瑕的
dulcimer	n.[乐] 洋琴
unpublished	adj.未公开出版的?未发表过的
paddle	n.短桨? 划桨 v划桨?拌?v.用桨划船； 涉水， 戏水?n.桨；桡足
twine	n.合股线 v织? (使)缠绕?v.缠绕， 盘绕， 围绕?n.细绳
jumble	v.混杂? 搞乱 n混乱?vt.混杂，掺杂?n.杂乱的一堆， 混乱的一团
bituminous	adj.沥青的?含沥青的
toil	n.苦工? 圈套 v费力地做
insurmountable	adj.不能克服的?不能超越的
instantaneously	adv.即刻?突如其来地
prohibitively	adv.禁止地?过分地
unprocessed	adj.未被加工的
uncooked	adj.未煮过的
forecaster	n.预报员
stormy	adj.暴风雨的? 激烈的? 暴怒的
untouched	adj.未触及的? 未改变的
mennonite	n.门诺派教徒
police	n.警察 vt管辖 a警察的
humility	n.谦卑
torrential	adj.猛烈的?汹涌的
advantageously	adv.有利地?方便地
merchandis	n.商品?货物 v买卖
hospital	n.医院
proboscidean	adj.长鼻类的 n长鼻目动物
neat	adj.整洁的? 灵巧的? 优雅的
precursor	n.先驱?n.先驱； 先兆， 前兆； 前身
economize	v.节省? 有效地利用
haven	n.港口? 避难所?n.港口； 庇护所， 避难所； 栖息处
tranquillity	n.宁静
competitiveness	n.竞争力?好竞争
atomization	n.分离成原子? 雾化
custodian	n.管理人
stagnate	v.(使)淤塞? (使)停滞? (使)沉滞? (使)变萧条
regret	n./v遗憾? 抱歉?后悔
civility	n.礼貌? 端庄
unbridgeable	adj.不能架桥的?不能逾越的?adj.不能架桥的； 不能逾越的
determinedly	adv.决然地?断然地
mimetic	adj.模仿的?拟态的
fictive	adj.虚构的? 想象上的
shudder	n.震动 vi战栗? 发抖
violence	n.猛烈? 暴力? 暴虐
insanity	n.精神错乱? 疯狂? 愚顽?n.精神错乱， 疯狂
pinon	n.矮松? 矮松果
juniper	n.[植]刺柏属丛木或树木
eke	v.补充? 增加
hem	n.边?缘 v给缝边
briny	adj.盐水的? 咸的? 海水的
midlatitude	n.中间纬度
eviscerate	v.取出内脏? 除去精华?vt.取出内脏； 除去主要部分
sparingly	adv.节俭地? 保守地
squirt	v.喷出?v.喷射，喷；向…喷射?n.喷射； 〈口， 贬〉无名小辈
antagonistic	adj.敌对的?对抗性的
buggy	adj.多虫的 n童车
infrequently	adv.罕见地? 稀少的
quiescent	adj.静止的?adj.静止的， 寂静的； 静态的
inanity	n.空虚? 愚蠢?n.空虚， 空洞； 无意义的事物
romancer	n.传奇小说作家? 讲虚构故事的人
strikingly	adv.醒目地? 引人侧目地
akin	adj.同类的
voracious	adj.狼吞虎咽的? 贪婪的?adj.狼吞虎咽的， 贪婪的； 求知欲强的
gourmet	n.美食家?adj.美味的
supremely	adv.无上地? 崇高地
complacence	n.自满?n.自满， 满足
pleasantly	adv.令人愉快地；舒适地
supervision	n.监督? 管理
humanist	n.人道主义者? 人文主义者
cannibalism	n.同类相食?n.嗜食同类
satirist	n.讽刺作家
distend	v.(使)扩大? (使)扩张
balmy	adj.芳香的? 温和的
compo	n.组合物?混合涂料
pressurize	v.增压? 密封
freshness	n.新鲜? 精神饱满
wearer	n.穿用者? 佩带者
dimensional	adj.维度的? 空间的? 尺寸的?adj.…度空间的
dependably	adv.可信任地
reexamine	v.复试
behalf	n.利益
sanctimonious	adj.伪装虔诚的? 道貌岸然的
frenetic	adj.发狂的? 狂热的
distinctively	adv.ad/ 区别地? 特殊地
prod	v.刺
secondhand	adj.a&ad 二手的? 间接的
irreverence	adj.不尊敬的
briskness	n.敏捷? 活泼
ethically	adv.伦理(学)上
juxtaposition	n.毗邻? 并置
platitudinous	adj.平凡的? 陈腐的
moralize	v.教化 ?说教
platitude	n.陈词滥调?n.陈词滥调， 老生常谈
irreverent	adj.不敬的? 无礼的?adj.不敬的
megalopolis	n.巨大都市? 人口稠密地带
comer	n.来者? 新来者
conurbation	n.有卫星城的大都市
elusive	adj.难懂的? 难捉摸的?adj.难以理解的， 难懂的； 难捕捉的； 逃避的
scowl	n.愁容? 皱眉 v皱眉
subterranean	adj.地下的
pharmacy	n.药房? 药剂学?n.药店； 药剂学
gyration	n.旋回? 回转
miraculous	adj.奇迹的?不可思议的
grainy	adj.粒状的? 木纹状的
vagueness	n.暧昧? 含糊
urbanize	v.使都市化? 使文雅
quaint	adj.离奇有趣的? 奇怪的?adj.古色古香的； 离奇有趣的
counterclockwise	n&a.反时针方向(的)
entanglement	n.纠缠
diagonally	adv.斜对地? 对角地
rustproof	adj.不锈的? 抗锈的?adj.不锈的
installation	n.安装? 装置
galvanize	v.通电流于? 电镀
matrilinear	adj.母系的
underworld	n.黑社会
crimp	v.起皱? 卷曲? 抑制
serrate	adj.锯齿状的
convivial	adj.好交际的? 愉快而随和的
foreshadow	v.预示
plaint	n.[诗]悲叹? 抱怨
waterborne	adv.水上的? 水运的
amazement	n.惊愕? 惊异
urgency	n.紧急? 紧急的事
unpromising	adj.没有希望的(结果未必良好的)
deter	v.阻止?v.威慑， 阻止
bluntly	adv.坦率地? 率直地
subclass	n.[生]亚纲? 子集
simplistic	adj.过分简单化的
teapot	n.茶壶
rationally	adv.理性地
prominence	n.突出? 显著
importer	n.输入者? 进口商
foundry	n.铸造? 铸造场
systematize	v.系统化?vt.使系统化， 使条理化， 使成体系
singly	adv.单独地? 个别地
gloss	n.光泽，注解?v.有光泽?n.光泽，色泽；亮光漆；注解
refinement	n.精致? 文雅
guess	v.猜测? 推测
earthworm	n.蚯蚓
lateral	n.侧部? 支线 a侧面的?adj.侧面的， 旁边的； 横向的
intimately	adv.密切地? 亲密地
nostril	n.鼻孔
bis	adv.二度? 二回
uniqueness	n.唯一性? 独特性
shaper	n.造形者? 塑造者
genial	adj.亲切的?adj.亲切的， 和蔼的； 温和的， 温暖的
avocational	n.娱乐? 消遣
occupancy	n.占有
mildly	adv.温和地? 适度地
bundle	n.捆v捆扎?n.捆，束；包袱?vt.收集， 归拢； 把…塞入
ethnographic	adj.民族志学的? 人种志学的
wearability	n.耐磨性? 磨损性
masthead	n.桅顶? 报头
gazette	n.报纸? 政府的公报
disc	n.圆盘? 唱片
spheroidal	adj.球状的
flattish	adj.有点平凡的? 稍平的
businesswoman	n.妇女实业家
expo	n.博览会? 展览会
signer	n.签名人? (用手势) 示意者
silurian	adj.〈地〉志留纪的
explosively	adv.爆发地? 引起爆炸地
lastly	adv.最后? 终于
frill	n.皱边
facilitation	n.简易化? 助长
megafossil	n.大化石
cryptic	adj.秘密的? 含义模糊的
inspect	v.检查? 视察?vt.检查， 视察
genesis	n.起源?n.起源， 开端
conspiracy	n.共谋? 阴谋?n.密谋； 阴谋
jobber	n.临时工? 批发商
wholesaler	n.批发商
sweatshop	n.血汗工厂(指工人劳动条件差?工作时间长?工资低的工场或工厂)
orthopteran	n.直翅类的昆虫
heyday	n.全盛时期?n.全盛期
sideline	n.副业? 边界线
modicum	n.少量? 一点点
lonely	adj.孤独的? 寂寞的
decorator	n.油漆工
wonderfully	adv.令人惊讶地；奇妙地
unimaginable	adj.不能想象的? 想象不到的
ruthlessly	adv.冷酷地? 残忍地
unknowing	adj.没查觉的? 无知的
haste	n.匆忙? 急忙?v.赶快， 匆忙?n.急忙，急速，匆忙
scruple	n&v.踌躇? 犹豫?n&vi.踌躇， 顾忌， 顾虑
equitable	adj.公平的? 公正的?adj.公平的， 公正的
laurasia	n.[地质] 劳亚古大陆
innkeeper	n.旅馆主人
peddler	n.小贩? 传播者
educationally	adv.教育的? 有关教育的
tractor	n.拖拉机
constellation	n.[天]星群? 星座
exam	n.考试? 测验
working	n.工作
grandparent	n.祖父或祖母? 祖父母
contractor	n.订约人? 承包人
cubism	n.立体派?n.立体派； 立体主义
woodcarving	n.木雕? 木刻
prodigy	n.惊人的事物? 天才
nonconformist	adj.不信奉英国国教的 n非国教徒
fascination	n.魔力? 魅力? 迷恋
aloud	adv.大声地
profitability	n.收益性? 利益率
renter	n.租贷人
claimant	n.要求者?申请者? 原告
sadden	v.悲哀
beard	n.胡须
skeletally	adj.骨骼的? 梗概的
muscularly	adj.肌肉的
tinplate	n.镀锡铁皮? 马口铁
tomato	n.番茄? 西红柿
starch	n.淀粉?n.淀粉；
grape	n.葡萄? 葡萄树
packer	n.包装工人? 打包机
strawberry	n.[植]草莓
negate	v.否定? 打消?vt.取消； 否定
creeper	n.爬行者
bluebird	n.北美产的蓝知更鸟
lark	n.云雀? 百灵鸟
communally	adv.共同地? 社区地
sociably	adv.和蔼可亲地
obsolete	adj.已废弃的? 过时的?adj.过时的； 废弃的
rarefy	v.稀薄
crossbones	n.交叉腿骨的图形
figurehead	n.装饰船头的雕像? 破浪神
snipe	n.[鸟]鹬
intricately	adv.杂乱地? 复杂地
icon	n.图标? 肖像
antelope	n.羚羊
interferometer	n.干涉计
hardworking	adj.努力工作的? 勤奋的
proprietorship	n.所有权
aie	n.急性包涵(体)脑炎
imbibe	v.吸收?v.喝； 吸收， 接受
agility	n.敏捷? 活泼
delightful	adj.令人愉快的? 可喜的
overheat	v.使过热， 变得过热
rehydrate	v.[化] 再水化? 再水合
efficacy	n.功效? 效验
dilution	n.稀释
festive	adj.庆祝的? 喜庆的
zealous	adj.热心的?adj.狂热的， 热烈的， 充满激情的
equestrian	adj.骑马的 n骑手
urn	n.瓮? 缸
timidity	n.胆怯
stonemason	n.石匠
biter	n.咬人的动物? 骗子
plainspoken	adj.老实说的?直言的
grit	n.粗砂 v研磨
aero	adj.航空的? 飞行的
cheapen	v.减价? 跌价
thorny	adj.多刺的? 痛苦的
inchworm	n.[昆] 尺蠖
escalator	n.电动扶梯
voltage	n.[电工]电压? 伏特数?n.电压， 伏特数
smite	v.重击
indifference	n.不关心?n.冷漠， 不关心
eyelid	n.眼皮? 眼睑
comfortably	adv.舒适地
hatchet	n.短柄斧
axe	n.斧? (经费的)大削减
ambidextrous	adj.十分灵巧的
attributable	adj.可归因于的
predominance	n.优势
petrify	v.石化?吓呆
ax	n.斧头 vt削减
ferromagnetic	adj.铁磁的
afterward	adv.然后? 后来
occupant	n.占有者? 居住者
inflexible	adj.不可弯曲的? 僵硬的
lotus	n.[植] 莲(花)?adj.贪图安乐的
inexplicable	adj.无法解释的，难理解的
nineteen	num.十九
therapeutic	adj.治疗的? 治疗学的 n治疗剂? 治疗学家
restrictive	adj.限制性的
ail	v.生病，使苦恼
unbind	v.解开? 解放
Grecian	adj.希腊的? 希腊式的 n希腊学家
defender	n.防卫者? 拥护者
volcanism	n.火山作用
subduction	n.[地]潜没(指地壳的板块沉到另一板块之下)
electrocardiogram	n.[医]心电图
electroencephalogram	n.[医]脑电图
blackout	n.灯火管制，断电
jolt	v& n.(使)颠簸；震动?v.震动，颠簸；震惊?n.震动， 颠簸； 震惊； 一阵强烈的感情等
bandleader	n.伴舞乐队的指挥
ballroom	n.舞厅? 跳舞场
pepper	n.胡椒粉?n.胡椒；辣椒?vt.撒胡椒粉； 大量给予
accusation	n.谴责? [律]指控
obligate	v.使负义务 a有责任的?vt.使负义务， 强迫
forbearance	n.自制，忍耐
Thames	n.泰晤士河(流经牛津?伦敦等)
maverick	adj.标新立异的；持不同意见的
blower	n.吹制工? 送风机
goldfish	n.金鱼
decor	n.舞台装饰
fresco	n.壁画 vt作壁画于?v.绘湿壁画于?n.湿壁画；湿壁画技法
rook	n.白嘴鸦；赌棍 vt骗
equilateral	adj.等边的 n等边形
honeycomb	n.蜂房? 蜂巢
romanticize	v.浪漫化? 传奇化
misconception	n.误解
poster	n.海报? 招贴?n.海报， 招贴画； 发布消息的人
tessellation	n.棋盘形嵌石饰
cate	n.佳肴? 美食
officeholder	n.官员?公务员
pentagon	n.五角形? 五边形
corset	n.束腹? 妇女的胸衣?v.严格控制
sheepskin	n.羊皮(革?纸)? 毕业证书
denomination	n.面额?名称?教派
breech	n.臀部?后膛?vt.给…穿上裤子
mitigate	v.减轻?缓和
spaceship	n.太空船
feud	n.不和?争执?v.长期争斗
ted	vt.翻晒?n.泰德
venturesome	adj.危险的?冒险的?adj.敢于冒险的； 有危险的
knuckle	n.指节? 关节?v.开始工作
wrist	n.手腕? 腕关节
familiarization	n.亲密? 熟悉? 精通
bulldoze	v.威吓? 欺负
mason	n.泥瓦匠?vt.用砖瓦砌成?n.石匠， 泥瓦匠
woodlot	n.植林地(尤指附属林场地)
profoundly	adv.深深地? 衷心地
hone	n.磨（刀）石vt用磨刀石磨
tele	n.电视
uncounted	adj.无数的?没有数过的
profiteer	n.奸商?v.牟取暴利
arsenal	n.兵工厂? 军械库
ordnance	n.军火
tycoon	n.企业界大亨? 将军?n.巨头， 大亨
stickpin	n.领带夹(指插于领带上的装饰别针)
flamboyant	adj.辉耀的?艳丽的?adj.艳丽的， 绚丽夺目的； 炫耀的
rumble	v.隆隆声?低沉地说?n.隆隆声? 吵嚷声
gunfire	n.炮火
ameliorate	v.改善? 改进
heartbreak	n.心碎；伤心事
northerner	n.北国人? 北方人
tingle	v.造成麻刺的感觉?使感刺痛
achingly	adv.极其?非常痛地
roadway	n.车行道? 路面
royal	adj.皇家的? 高贵的
promoter	n.促进者? 助长者
hydra	n.[希神]九头怪蛇? 难以根除之祸害? [动]水螅
coelenterate	n.[动]腔肠动物?adj.腔肠动物的
plantlike	adj.似植物的
homeownership	n.房主
acceleration	n.加速度?加速
traction	n.牵引?牵引力
dictaphone	n.录音电话机（商标名称） [商标名] 录音机
utter	adj.全然的? 绝对的?v.发出? 发射?adj.完全的?vt.出声；说
succinctly	adv.简洁地? 简便地
codify	v.把…编成法典? 编纂?vt.把…编成法典， 使法律成文化； 整理， 系统化
soul	n.灵魂? 精髓
airy	adj.通风的? 轻快的
reconstitute	v.重新组成? 重新设立
overexploitation	n.(对资源等的)过度开采?(对工人等的)过度剥削
designation	n.指示? 指定? 名称
entrench	v.以壕沟防护?保护?vt.使根深蒂固， 牢固确立
thousandth	adj.第一千的? 千分之一的
woodworking	n.木工艺? 木工行业?adj.干木工活的
demolition	n.毁坏? 毁坏之遗迹
magnification	n.扩大? 放大倍率
bat	n.蝙蝠? 球棒 v用球棒击球
sawyer	n.锯木匠? 漂流水中的树木
wavy	adj.波状的?不稳的
cooper	n.制桶工人?v.制桶
forestall	v.之前? 先(用先发制人的方法)预防? 阻止?vt.预防， 预先阻止； 先发制人
melange	n.混合物? 杂录
waterside	n.n&?adj.水边(的)?湖畔(的)
improbable	adj.不大可能的? 不像会发生的? 似不可信的
kiosk	n.亭子
cordwainer	n.鞋匠
sear	adj.烤焦的? 枯萎的?v.烤焦?变干枯
negligibly	adv.可忽略不计地? 微不足道地? 极小地
abut	v.邻接? 毗邻?v.邻接， 毗邻
annex	n.附件?v.并吞? 附加?vt.兼并； 附加
proliferate	v.繁殖?使激增? 使扩散?vi.激增， 迅速繁殖
spank	v.鞭策前进?v.轻快的移动?n.拍击
peart	adj.有精神的? 快活的
Indonesia	n.印尼(东南亚岛国)
Thailand	n.泰国
newberry	n.纽伯里
keenly	adv.敏锐地? 强烈地? 热心地
captivate	v.迷住? 迷惑
philanthropist	n.慈善家?博爱的人
purplish	adj.略带紫色的
venerable	adj.值得尊敬的? 庄严的
sargeant	n.萨金特
unmarried	adj.未婚的? 单身的
gentility	n.文雅? 出身高贵? 有教养?n.有教养， 文雅
plasticity	n.可塑性? 塑性
carpet	n.地毯
regimentation	n.管辖?严格控制
rarer	adj.稀罕的? 珍贵的
jibe	v.嘲笑? 与一致? 使转向
knead	v.揉(面等)成团? 按摩
nonchalant	adj.若无其事的? 不关心的? 冷淡的
humanlike	adj.似人类的
boron	n.[化]硼
dump	v.倾倒(垃圾)? 倾卸?n.堆存处?vt.丢弃，倾倒；抛弃；推卸；倾销?n.垃圾场
topographically	adv.地形地
mandatory	adj.命令的? 托管的?n.强制的，法定的，义务的； 受托人； 代理人
scholarly	adj.学者气质的? 学者风度的
offering	n.提供? 奉献物
chlorine	n.[化]氯?n.氯
bromine	n.[化]溴
gush	v.涌出?滔滔不绝?n.迸发?v.滔滔不绝地说；喷涌?n.喷出， 涌出； 迸发， 发作
kea	n.食肉鹦鹉
hillbilly	n.山地内部的贫农?乡下人
pont	n.(南非的)缆拉渡船
resettle	v.(使)重新定居?再坐下来
pivotal	adj.重要的? 轴的
untimely	a&ad.不适时的? 不合时宜的
sack	n.大袋? 大袋之量?v.解雇? 洗劫
pointe	n.（芭蕾舞中的）足尖舞
woodcutting	adj.木雕的?n.伐木? 木刻
chapter	n.(书籍)章?回
circulatory	adj.循环的? 循环系统的
unquestioning	adj.无条件的? 不犹豫的
primatology	n.灵长类动物学
demerit	n.缺点?过失
tyrannical	adj.暴虐的? 压制的? 残暴的?adj.专制的， 残暴的， 专横的
potentiality	n.(用复数)潜能?可能性
applicability	n.适用性? 适应性
terrible	adj.很糟的? 极坏的?骇人的
glossy	adj.平滑的? 有光泽的?adj.光滑的； 光彩夺目的； 浮华的
relevance	n.中肯? 适当?n.有关， 相关； 中肯， 适当； 重大关系， 意义； 实用性
wanderer	n.流浪者? 徘徊者? 迷路的动物
rebirth	n.复活? 新生
unfertilized	adj.未施肥的? 未受精的
folklore	n.民间传说? 民俗学?n.民间传说； 民俗学
fumigate	v.熏制? 以烟熏消毒?vt.烟熏， 香薰
unverified	adj.未经证实的? 未经核对的
uncontested	adj.无争论的? 无异议的
nutritionist	n.营养学家
dismal	adj.阴沉的? 凄凉的n沼泽?adj.阴沉的， 阴郁的； 忧郁的， 沮丧的； 差劲的
roe	n.鱼卵?獐鹿?n.鱼卵
unrecognizable	adj.未被承认的? 无法识别的
soup	n.汤
directive	n.指示?adj.指导的
september	n.九月(略作Sep)
unreachable	adj.不能到达的? 不能得到的
slowness	n.缓慢? 迟钝
herculean	adj.极困难的?需要大力气的
colossal	adj.巨大的? <口>异常的
imprisonment	n.关押?监禁
treason	n.叛逆? 通敌? 背信
wold	n.无树木的山地? 荒野
abalone	n.[动]鲍鱼(软体动物)
mime	n.哑剧?v.做哑剧表演?v.模拟，模仿?n.喜剧； 哑剧； 哑剧演员； 模拟表演
dram	n.液量特兰(药衡系统中的容量单位)? 少量
retool	v.将机械重新整备? 重组
urchin	n.顽童? [动物]刺猥? [动物]海胆
relational	adj.有关系的? 亲属的
demobilize	v.使复员? 使退伍? 遣散?vt.遣散； 使复员
palimpsest	n.重写本
hermetic	adj.密封的? 与外界隔绝的
lust	n.繁殖力? 强烈的性欲?v.强烈欲望?v.对…有强烈的欲望?n.性欲；强烈的欲望
posthumously	adv.在死后
revolt	v& n.反抗?反叛?v.反叛，反抗；违抗；厌恶，反感?n.起义， 叛乱， 反抗
maw	n.动物的胃?口部
bryn	n.布琳
consistency	n.坚固性? 浓度? 一致性?n.浓度， 密度； 一致性， 协调； 连接， 结合
sentimentalism	n.感情主义? 沉于情感
philosophic	adj.哲学的? 哲学家的
trilogy	n.三部剧? 三部曲?n.三部剧， 三部曲
diction	n.措辞? 用语? 言语?n.措辞， 用语
stylish	adj.时髦的? 漂亮的? 流行的?adj.漂亮的， 时髦的； 高雅的， 有格调的
waist	n.腰部? 衣服的上身部分
storehouses	n.仓库? 储藏所? 宝藏
uncharted	adj.地图上没标明的?未知的
hanker	v.渴望? 追求
rattlesnake	n.<美>[动]响尾蛇
brim	n.(杯? 碗等)边? 边缘?v.注满
boot	n.<美> (长统)靴
garb	n.服装?v.装扮?n.服装，装束?vt.穿着， 装扮
collarless	adj.无领的?无马轭(或颈圈)的
cowhand	n.<美>(牧场的)牧牛工?n.牛仔， 牧牛工
taxonomy	n.分类法? 分类学
narrower	adj.有限的? 精密的?n.海峡
waterfall	n.瀑布? 瀑布似的东西
hibernation	n.过冬? 冬眠? 避寒?n.冬眠； 休眠， 蛰伏
evenness	n.平均? 平等? 平坦
poikilotherm	n.[动]变温动物?冷血动物
unload	v.卸货?v.摆脱之负担
depositor	n.寄托者? 存款人
lyrically	adv.抒情地? 狂热地
theatrically	adv.戏剧化地
splinter	n.尖片? 碎片?v.分裂
tonnage	n.登记吨位? 排水量
seagoing	adj.适于远航的?出海的
jacket	n.夹克?护封?v.给穿夹克
fisherman	n.渔民? 渔夫
mainsheet	n.主桅帆操纵索
oblivious	adj.没注意到? 健忘的?adj.遗忘的； 未注意的， 不知不觉的
coaming	n.舱口栏板? 边材
lad	n.少年? 青年男子
choppy	adj.（海等）波浪起伏的? (指风)不断改变方向的?adj.波浪起伏的， 不平静的； 不连贯的， 支离破碎的
illustrator	n.插图画家?说明者
ectothermic	n.变温动物
poikilothermic	adj.[动]变温的? 冷血动物的
locomote	v.移动? 行动
inadequately	adv.不够地? 不够好
onetime	adj.从前的? 一度的?adv.从前
eyesight	n.视力? 目力
comical	adj.好笑的? 滑稽的
mollusk	n.[动]软体动物
rediscover	v.重新发现
eminent	adj.著名的? 卓越的?adj.显著的， 杰出的
silence	n.寂静? 沉默?v.使沉默
sequester	v.使隐退? 扣押? 没收
metazoan	n&a.[动]后生动物(的)
abreast	adv.并肩地? 并排地?adv.并列地， 并排地
serum	n.浆液? 血清
adrenaline	n.肾上腺素(使激动兴奋等)
milieu	n.周围? 环境?n.出身背景； 社会环境
compensatory	adj.赔偿的? 补偿的
unconventional	adj.非传统的? 不合惯例的
gibe	v.嘲笑?讥笑?n.嘲笑?n&v.嘲弄， 讥笑
proprietor	n.所有者? 经营者?n.所有者， 业主
silly	adj.愚蠢的? 可笑的
metric	adj.米制的? 公制的?adj.米制的； 公制的
lintel	n.[建]楣? 过梁
untapped	adj.塞子未开的? 未使用的?adj.未开发的， 未使用的
corral	n.畜栏?v.关进畜栏
playwright	n.剧作家
Cuban	n.古巴人?adj.古巴(人)的
char	v.烧焦?n.碳
tavernkeeper	n.小餐馆老板
slavish	adj.奴隶的? 盲从的? 专横的
emotive	adj.感情的? 引起强烈感情的
physic	n.医术?vt.治愈
synapsis	n.[生]染色体结合? 突触
unsophisticated	adj.不谙世故的? 不复杂的
unspoiled	adj.未损坏的? 未宠坏的
arthritis	n.关节炎
whim	n.一时的兴致? 奇想?n.一时的兴致， 冲动； 怪念头， 奇想
